id,name,movieid
1,Stephen Spinella,1
2,Jack Plotnick,1
3,Wings Hauser,1
4,Roxane Mesquida,1
5,Ethan Cohn,1
6,John Wayne,2
7,Maureen OHara,2
8,Patrick Wayne,2
9,Stefanie Powers,2
10,Jack Kruschen,2
11,Ben Stiller,3
12,Owen Wilson,3
13,Christine Taylor,3
14,Will Ferrell,3
15,Milla Jovovich,3
16,Vince Vaughn,4
17,Rachel McAdams,4
18,John Travolta,5
19,Nicolas Cage,5
20,Joan Allen,5
